param_SVM__max_iter,train acc,test acc
1,0.6666666666666666,0.6666666666666666
2,0.6666666666666666,0.6666666666666666
4,0.6666666666666666,0.6666666666666666
8,0.6666666666666666,0.6666666666666666
16,0.6666666666666666,0.6666666666666666
32,0.6666666666666666,0.6666666666666666
64,0.6666666666666666,0.6666666666666666
128,0.6666666666666666,0.6666666666666666
256,0.6666666666666666,0.6666666666666666
512,0.753727137660741,0.7542529206804673
1024,0.9850908105177555,0.9616763165150262
2048,0.9851575737038294,0.9614112458654905
